codigo_rec;recinto;Direccion;comuna;region;
1964;LICEO PORTAL DE LA CISTERNA;ESMERALDA 6305  ;LA CISTERNA;METROPOLITANA DE SANTIAGO;
1981;CENTRO EDUCACIONAL LA FLORIDA;AVENIDA SAN JOSE DE LA ESTRELLA 364  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1966;COLEGIO ALCANTARA DE LA CORDILLERA;AVENIDA WALKER MARTINEZ 1106  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1979;COLEGIO ATENAS;AVENIDA WALKER MARTINEZ 3288  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1992;COLEGIO DIVINA PASTORA;AVENIDA VICUÑA MACKENNA 9651  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1999;COLEGIO NEW LITTLE COLLEGE;ESTADOS UNIDOS 8735  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1983;COLEGIO NOVA TERRA;DIEGO PORTALES 848  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1968;COLEGIO PATRONA SEÑORA DE LOURDES;ALICAHUE 7370  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1969;COLEGIO PIERRE TEILHARD DE CHARDIN;ALONSO DE ERCILLA 8597  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1985;COLEGIO PORTALES;DIEGO PORTALES 814  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
10025;COLEGIO SAN CARLOS DE LA FLORIDA;CALLE UNO 1628  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1996;COLEGIO SAN DAMIAN;DOCTOR SOTERO DEL RIO 593  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
290;COLEGIO JAVIERA CARRERA;AVENIDA FRANCISCO DE AGUIRRE 141  ;LA SERENA;DE COQUIMBO;
1984;COLEGIO SAN FRANCISCO DE ASIS;GENERAL ARRIAGADA 600  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1991;COLEGIO ALICANTE DE LA FLORIDA;SANTA VICTORIA 9421  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
10029;COLEGIO SANTA PATRICIA DE LA FLORIDA;CONCORDIA 4280  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1980;COMPLEJO EDUCACIONAL CARDENAL ANTONIO SAMORE;YOKOHAMA 6865 VILLA TOKIO;LA FLORIDA;METROPOLITANA DE SANTIAGO;
10062;ESCUELA BELEN O´HIGGINS;PASAJE CATEMU 9154  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1972;ESCUELA LAS ARAUCARIAS;CALLE A 5820 LAS ARAUCARIAS;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1987;ESCUELA LAS LILAS;DIEGO PORTALES 828  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1997;ESCUELA MARCELA PAZ;ACONCAGUA 8289  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1973;ESCUELA ROSARIO CONCHA;REAL ALICANTE 6674 VILLA ESPAÑA;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1989;COLEGIO CAPITAN PASTENE;SAN JOSE DE LA ESTRELLA 1396  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;DE MAGALLANES Y DE LA ANTARTICA CHILENA
1995;COLEGIO LICARAYEN;AVENIDA TRINIDAD PONIENTE 810  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1974;ESCUELA SANTA IRENE;DIAGONAL SANTA IRENE 3015  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1975;GIMNASIO MUNICIPAL;ALONSO DE ERCILLA 1398  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
10142;LICEO ALBERTO MAGNO LA FLORIDA;LAPISLAZULI 1560  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1988;LICEO ALTO CORDILLERA DE LA FLORIDA;COLOMBIA 10570  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1967;LICEO BENJAMIN VICUÑA MACKENNA;AVENIDA WALKER MARTINEZ 1478  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1990;LICEO INDIRA GANDHI;SAN JOSE DE LA ESTRELLA 153  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1998;LICEO LOS ALMENDROS;EL QUISCO 470  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1976;LICEO MUNICIPAL DE LA FLORIDA;EL PARQUE 1740  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
1978;LICEO NUEVO AMANECER;VOLCAN CALBUCO 5850  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
13196;UNIVERSIDAD CATOLICA RAUL SILVA HENRIQUEZ - CAMPUS LO CAÑAS;LO CAÑAS 3636  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
3064;COLEGIO ALMA MATER;LAS PARCELAS 10544  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2000;COLEGIO CHRISTIAN GARDEN SCHOOL;SOFIA EASTMAN DE HUNEEUS 10279  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2001;COLEGIO PROCERES DE CHILE;LINARES 875  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
10154;COLEGIO SAN GREGORIO DE LA SALLE;AVENIDA CARDENAL RAUL SILVA HENRIQUEZ 8240  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2005;ESCUELA BELGICA;EL TABO 8143  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2006;ESCUELA BENJAMIN SUBERCASEAUX;SOFIA EASTMAN DE HUNEEUS 10195  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2008;ESCUELA CLAUDIO MATTE;PADRE ESTEBAN GUMUCIO VIVES 140  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2007;ESCUELA LA ARAUCANIA;JUAN MEYER 760  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
3447;ESCUELA LOS HEROES DE YUNGAY;LAS YUCAS 6590  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2003;ESCUELA PADRE ESTEBAN GUMUCIO VIVES;PADRE ESTEBAN GUMUCIO VIVES 381  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2009;ESCUELA POETA OSCAR CASTRO ZUÑIGA;COMBARBALA 525  ;LA GRANJA;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2010;ESCUELA TECNO SUR;AVENIDA SAN GREGORIO 140  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2011;LICEO DOCTOR ALEJANDRO DEL RIO;CALLE M 65 POBLACION JOAO GOULART;LA GRANJA;METROPOLITANA DE SANTIAGO;
2014;LICEO FRANCISCO FRIAS VALENZUELA;AVENIDA SANTA ROSA 6740  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2013;LICEO MUNICIPAL POETA NERUDA;CANTO GENERAL 331  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
10189;LICEO POLIVALENTE BAHIA DARWIN;MANUEL RODRIGUEZ 547  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2785;INSTITUTO SANTA MARIA;BULNES 415  ;CHILLAN;DE ÑUBLE;
2015;LICEO TECNICO PROFESIONAL PATRICIO AYLWIN AZOCAR;SOFIA EASTMAN DE HUNEEUS 10411  ;LA GRANJA;METROPOLITANA DE SANTIAGO;
2016;CENTRO EDUCACIONAL LA PINTANA;PADRE HURTADO 13132  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2017;CENTRO EDUCACIONAL MARIANO LATORRE;PUNTA DE HORCON 12346 VILLA SALVADOR ALLENDE;LA PINTANA;METROPOLITANA DE SANTIAGO;
3065;CHILEAN EAGLES COLLEGE-LA PINTANA;VENANCIA LEIVA 1741  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
3179;COLEGIO AUSTRALIA;LOS PLATANOS 385  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
332;COLEGIO FRAY JORGE;VICTORIA 533  ;OVALLE;DE COQUIMBO;
2031;COLEGIO BICENTENARIO APRENDER;SANTO TOMAS 963  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2029;COLEGIO JORGE HUNEEUS ZEGERS;AVENIDA SANTA ROSA 10934 PARCELA 31;LA PINTANA;METROPOLITANA DE SANTIAGO;
3026;COLEGIO MARISTA MARCELINO CHAMPAGNAT;SEXTO DE LINEA 13540  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2020;COLEGIO NERUDA;JULIO CHAVEZ 12849 POBLACION RAUL DEL CANTO;LA PINTANA;METROPOLITANA DE SANTIAGO;
2030;COLEGIO SANTO TOMAS;SANTO TOMAS 255  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2027;COLEGIO SIMON BOLIVAR;EL OMBU 2669  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2022;COLEGIO TECNICO PROFESIONAL NOCEDAL;LA PRIMAVERA 3187  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2018;ESCUELA CAPITAN AVALOS;TENIENTE MONTT SALAMANCA 12220  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
10214;ESCUELA CELESTIN FREINET;VENANCIA LEIVA 1949  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2023;ESCUELA JUAN DE DIOS ALDEA;MIGUEL ANGEL 3471  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2026;ESCUELA PABLO DE ROKHA;JOSE TORIBIO MEDINA 12816  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2021;ESCUELA PRESIDENTE JOSE JOAQUIN PRIETO;REY DON FELIPE 1990  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2032;ESCUELA PROFESORA AURELIA ROJAS BURGOS;ANIBAL HUNEEUS 820  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
3648;ESCUELA VIOLETA PARRA;PEDRO PRADO 12351  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2034;LICEO SERGIO SILVA BASCUÑAN;AVENIDA OBSERVATORIO 1885  ;LA PINTANA;METROPOLITANA DE SANTIAGO;
2028;LICEO VICTOR JARA;EL RAULI 12951 POBLACION SAN RICARDO;LA PINTANA;METROPOLITANA DE SANTIAGO;
2952;COLEGIO ANDREE ENGLISH SCHOOL;PRINCIPE DE GALES 7605  ;LA REINA;METROPOLITANA DE SANTIAGO;
2035;COLEGIO CONFEDERACION SUIZA;AVENIDA JOSE ARRIETA 5896  ;LA REINA;METROPOLITANA DE SANTIAGO;
2036;COLEGIO DE LA SALLE;AVENIDA OSSA 1349  ;LA REINA;METROPOLITANA DE SANTIAGO;
2038;COLEGIO SAN CONSTANTINO;ALCALDE FERNANDO CASTILLO VELASCO 9201  ;LA REINA;METROPOLITANA DE SANTIAGO;
2039;COLEGIO SANTA CATALINA LABOURE;DOCTOR GENARO BENAVIDES 5663  ;LA REINA;METROPOLITANA DE SANTIAGO;
2042;COMPLEJO EDUCACIONAL LA REINA SECCION BASICA;PARINACOTA 18  ;LA REINA;METROPOLITANA DE SANTIAGO;
2043;COMPLEJO EDUCACIONAL LA REINA SECCION MEDIA;QUILLAGUA 40  ;LA REINA;METROPOLITANA DE SANTIAGO;
2045;ESCUELA PALESTINA;GENARO BENAVIDES 6405  ;LA REINA;METROPOLITANA DE SANTIAGO;
3184;ESCUELA SAN LEONARDO MURIALDO;ONOFRE JARPA 9366  ;LA REINA;METROPOLITANA DE SANTIAGO;
2046;LICEO EUGENIO MARIA DE HOSTOS;AVENIDA ECHEÑIQUE 8625 PARCELA 80;LA REINA;METROPOLITANA DE SANTIAGO;
3022;COLEGIO PUMAHUE CHICAUMA;CAMINO LA SIEMBRA 5605 CHICAUMA CIUDAD PARQUE;LAMPA;METROPOLITANA DE SANTIAGO;
2055;COLEGIO SOL DEL VALLE;AVENIDA COSTANERA PONIENTE DE FERROCARRIL 573  ;LAMPA;METROPOLITANA DE SANTIAGO;
2049;COMPLEJO EDUCACIONAL MANUEL PLAZA REYES;IGNACIO CARRERA PINTO 1066  ;LAMPA;METROPOLITANA DE SANTIAGO;
2054;ESCUELA CACIQUE COLIN;EL TAQUERAL SIN NUMERO ESTACION COLINA;LAMPA;METROPOLITANA DE SANTIAGO;
2044;ESCUELA YANGTSE;ALCALDE FERNANDO CASTILLO VELASCO 7631  ;LA REINA;METROPOLITANA DE SANTIAGO;
826;ESCUELA PALESTINA;RODRIGUEZ 482  ;CURICO;DEL MAULE;
3021;ESCUELA EMPRENDER LARAPINTA;LOS HALCONES 1000  ;LAMPA;METROPOLITANA DE SANTIAGO;
2051;ESCUELA MANUEL SEGOVIA MONTENEGRO;PEDRO AGUIRRE CERDA 1002  ;LAMPA;METROPOLITANA DE SANTIAGO;
2053;ESCUELA NORMA GONZALEZ GUERRA;NUEVO AMANECER 121  ;LAMPA;METROPOLITANA DE SANTIAGO;
2052;ESCUELA POLONIA GUTIERREZ;BALMACEDA 765  ;LAMPA;METROPOLITANA DE SANTIAGO;
2082;CENTRO DEPORTIVO ROLF NATHAN;REINA ASTRID 879  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2047;ESCUELA REPUBLICA DE POLONIA;AVENIDA ESPAÑA 163  ;LAMPA;METROPOLITANA DE SANTIAGO;
10326;ESCUELA SAN PEDRO VALLE GRANDE;GENERAL SAN MARTIN 245 VALLE GRANDE;LAMPA;METROPOLITANA DE SANTIAGO;
2048;LICEO DE BATUCO;LATORRE 1026  ;LAMPA;METROPOLITANA DE SANTIAGO;
2072;COLEGIO ACHIGA COMEDUC;ALONSO DE CAMARGO 6615  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2075;COLEGIO ALCAZAR DE LAS CONDES;AVENIDA PRESIDENTE RIESCO 4902  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2081;COLEGIO ALEMAN DE SANTIAGO;NUESTRA SEÑORA DEL ROSARIO 850  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2056;COLEGIO DEL SAGRADO CORAZON APOQUINDO;SANTA MAGDALENA SOFIA 277  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2057;COLEGIO DIFERENCIAL PAUL HARRIS;AVENIDA CRISTOBAL COLON 9188  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2059;COLEGIO LEONARDO DA VINCI DE LAS CONDES;CERRO ALTAR 6811  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2069;COLEGIO MUNICIPAL LAS CONDES;AVENIDA LAS CONDES 12125  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2076;COLEGIO DEL VERBO DIVINO;AVENIDA PRESIDENTE ERRAZURIZ 4055  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2077;COLEGIO LA GIROUETTE;MAR DEL SUR 1238  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2073;COLEGIO COMPAÑIA DE MARIA APOQUINDO;MANQUEHUE SUR 116  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2061;COLEGIO SAN FRANCISCO DEL ALBA HC;CAMINO EL ALBA 9280  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2062;COLEGIO SAN FRANCISCO TECNICO PROFESIONAL;AVENIDA COLON 9140  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2960;COLEGIO SAN JUAN DE LAS CONDES;ISABEL LA CATOLICA 3890  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2074;COLEGIO SAN JUAN EVANGELISTA;MARTIN DE ZAMORA 6395  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
10360;COLEGIO SAN NICOLAS DE MYRA;REPUBLICA DE HONDURAS 12737  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2063;ESTADIO PAUL HARRIS;PAUL HARRIS 701  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2079;INSTITUTO PRESIDENTE ERRAZURIZ;AVENIDA PRESIDENTE ERRAZURIZ 3868  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2064;LICEO ALEXANDER FLEMING DE LAS CONDES;AVENIDA ALEXANDER FLEMING 7315  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2067;LICEO BICENTENARIO SANTA MARIA DE LAS CONDES;VIA LACTEA 9308  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2068;LICEO BICENTENARIO SIMON BOLIVAR;AVENIDA TOMAS MORO 1651  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2065;LICEO JUAN PABLO II DE LAS CONDES;PATRICIA 9040  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2058;COLEGIO INSTITUCION TERESIANA;ISABEL LA CATOLICA 7445  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2083;CENTRO CULTURAL EL TRANQUE;AVENIDA EL TRANQUE 10300  ;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
2089;COLEGIO DIFERENCIAL MADRE TIERRA;LO BARNECHEA 1648 LA DEHESA;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
2085;COLEGIO LOS ALERCES;EL RADAL 437  ;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
2087;COLEGIO MONTE TABOR Y NAZARET;AVENIDA PASEO PIE ANDINO 5894  ;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
10412;COLEGIO PRE ESCOLAR CANTAGALLO;SAN JOSEMARIA ESCRIVA DE BALAGUER 13322  ;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
2086;THE MAYFLOWER SCHOOL;CAMINO LA LAGUNA 13675  ;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
2088;THE NEWLAND SCHOOL;EL TRANQUE 11093 LA DEHESA;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
3318;COLEGIO HERNAN OLGUIN;AVENIDA CENTRAL 8108  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2091;COLEGIO SAN LUCAS DE LO ESPEJO;PEDRO LIRA 9195  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2101;ESCUELA ACAPULCO;ACAPULCO 7661 POBLACION SANTA OLGA;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2103;ESCUELA BERNARDO O´HIGGINS;PIO XII 7148  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2093;ESCUELA BLUE STAR COLLEGE;MONTERREY 7519  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2078;COLEGIO VILLA MARIA ACADEMY;AVENIDA PRESIDENTE ERRAZURIZ 3753  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2070;COLEGIO SEMINARIO PONTIFICIO MENOR;PADRE ERRAZURIZ 7001  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2060;COLEGIO NUESTRA SEÑORA DEL ROSARIO LAS CONDES;LA PIEDAD 35  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2090;THE SOUTHLAND SCHOOL;SAN JOSEMARIA ESCRIVA DE BALAGUER 14631  ;LO BARNECHEA;METROPOLITANA DE SANTIAGO;
10356;COLEGIO SAN FRANCISCO DE ASIS;CERRO CATEDRAL NORTE 12150  ;LAS CONDES;METROPOLITANA DE SANTIAGO;
2104;ESCUELA CLARA ESTRELLA;VALPARAISO 6990  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2098;ESCUELA D 570 RAUL SAEZ SAEZ;VERACRUZ 5243  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2094;ESCUELA ESPECIAL TAMARUGAL;LA HABANA 7461  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2095;ESCUELA REPUBLICA DE INDONESIA;GABRIELA MISTRAL 9340  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2096;ESCUELA REPUBLICA DE LAS FILIPINAS;JUPITER 7746  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
10430;ESCUELA SALOMON SACK;AVENIDA LAS TORRES 7850  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2100;LICEO POLITECNICO SAGRADO CORAZON;HUASCO 7147  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2097;LICEO TENIENTE FRANCISCO MERY AGUIRRE;CENTENARIO 2854  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
10422;SAINT TRINITY COLLEGE;NUEVE DE ENERO 2699  ;LO ESPEJO;METROPOLITANA DE SANTIAGO;
2107;ANEXO INSTITUTO PEDRO PRADO;LOS CRISANTEMOS 6667  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2113;COLEGIO MUSTAFA KEMAL ATATURK;9 DE JULIO 5300  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2109;COMPLEJO EDUCACIONAL PEDRO PRADO;LOS CANELOS 816  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2119;ESCUELA BABILONIA;TERRITORIO ANTARTICO 6100  ;LO PRADO;METROPOLITANA DE SANTIAGO;
3316;ESCUELA DE EDUCACION DIFERENCIAL QUILLAHUE;GENERAL BUENDIA 350  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2151;COLEGIO DE LA PROVIDENCIA CARMELA LARRAIN DE INFANTE;SAN JOSE 621  ;MAIPU;METROPOLITANA DE SANTIAGO;
10507;COLEGIO DEL REAL;AVENIDA CUATRO PONIENTE 1063 VILLA JARDIN DEL SUR;MAIPU;METROPOLITANA DE SANTIAGO;
2178;COLEGIO JACQUES COUSTEAU;LAS NACIONES 1620  ;MAIPU;METROPOLITANA DE SANTIAGO;
2137;COLEGIO LOS ALPES MAIPU;PARQUE CENTRAL ORIENTE 1751  ;MAIPU;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2152;COLEGIO NUESTRA SEÑORA DEL CARMEN DE MAIPU;PADRE HURTADO 1891  ;MAIPU;METROPOLITANA DE SANTIAGO;
2154;COLEGIO REPUBLICA DE GUATEMALA;PRESIDENTE GERMAN RIESCO 3315  ;MAIPU;METROPOLITANA DE SANTIAGO;
10533;COLEGIO SAINT LOUIS SCHOOL;ALCALDE JOSE LUIS INFANTE LARRAIN 2200 CIUDAD SATELITE;MAIPU;METROPOLITANA DE SANTIAGO;
2180;COLEGIO SAN JUAN DIEGO DE GUADALUPE;SENADORA MARIA DE LA CRUZ 3460-A  ;MAIPU;METROPOLITANA DE SANTIAGO;
2144;COLEGIO SANTA MARIA DE MAIPU;LOS PAJARITOS 4201  ;MAIPU;METROPOLITANA DE SANTIAGO;
2182;COLEGIO TERRAUSTRAL DEL SOL;ASUNCION 1811  ;MAIPU;METROPOLITANA DE SANTIAGO;
2155;COMPLEJO EDUCACIONAL ALBERTO WIDMER;AVENIDA LOS PAJARITOS 2803  ;MAIPU;METROPOLITANA DE SANTIAGO;
2181;COLEGIO SAN SEBASTIAN DE RINCONADA;LA GALAXIA 2370  ;MAIPU;METROPOLITANA DE SANTIAGO;
2179;COLEGIO DIEGO PORTALES DE MAIPU;AVENIDA CUATRO PONIENTE 2115  ;MAIPU;METROPOLITANA DE SANTIAGO;
10500;COLEGIO ANGLO MAIPU;AVENIDA LUMEN 3760  ;MAIPU;METROPOLITANA DE SANTIAGO;
3069;COLEGIO SAN ANDRES DE MAIPU;LOS MINISTROS 1491  ;MAIPU;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2142;CENTRO EDUCACIONAL ROUSSEAU;PRESIDENTE JORGE ALESSANDRI RODRIGUEZ 624  ;MAIPU;METROPOLITANA DE SANTIAGO;
10535;COLEGIO SAN FRANCISCO DE SALES;SAN MANUEL 121  ;MAIPU;METROPOLITANA DE SANTIAGO;
2125;LICEO MANUEL ROJAS;MANUEL SANCHEZ 3555  ;MACUL;METROPOLITANA DE SANTIAGO;
2138;ESCUELA 1287 SAN MARCOS APOSTOL;EGIPTO 601 VILLA EL ABRAZO;MAIPU;METROPOLITANA DE SANTIAGO;
2158;ESCUELA 263 RAMON FREIRE;BLANCO ENCALADA 1111  ;MAIPU;METROPOLITANA DE SANTIAGO;
2160;ESCUELA GENERAL O'HIGGINS;EMILIANO LLONA 1853  ;MAIPU;METROPOLITANA DE SANTIAGO;
2161;ESCUELA GENERAL SAN MARTIN;AVENIDA 5 DE ABRIL 409  ;MAIPU;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2139;ESCUELA LAS AMERICAS;MARCO ANTONIO 16916  ;MAIPU;METROPOLITANA DE SANTIAGO;
8224;ESCUELA MUNICIPAL LOS GALPONES;CAMINO PITRUFQUEN TOLTEN KILOMETRO 15  ;PITRUFQUEN;DE LA ARAUCANIA;
2157;ESCUELA LOS ALERCES DE MAIPU;GLORIAS NAVALES 2040 VILLA ARTURO PRAT;MAIPU;METROPOLITANA DE SANTIAGO;DE LOS LAGOS
2166;ESCUELA TOMAS VARGAS Y ARCAYA;ASUNCION 1440  ;MAIPU;METROPOLITANA DE SANTIAGO;
2167;ESCUELA VICENTE REYES PALAZUELOS;ELIZABETH HEISSE 500  ;MAIPU;METROPOLITANA DE SANTIAGO;
2147;LICEO BICENTENARIO DE NIÑAS DE MAIPU;INGENIERO EDUARDO DOMINGUEZ 1377  ;MAIPU;METROPOLITANA DE SANTIAGO;
2159;LICEO EL LLANO DE MAIPU;LAS ACACIAS 535 VILLA 4 ALAMOS;MAIPU;METROPOLITANA DE SANTIAGO;
2171;LICEO INDUSTRIAL DOMINGO MATTE PEREZ;CUATRO ALAMOS 215  ;MAIPU;METROPOLITANA DE SANTIAGO;
2172;LICEO JOSE IGNACIO ZENTENO;AVENIDA DE LA VICTORIA 2400  ;MAIPU;METROPOLITANA DE SANTIAGO;
2228;COLEGIO ALBERTO HURTADO CRUCHAGA BASICA;EL ROBLE 2193 CON RIO ÑUBLE;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2231;COLEGIO SAN CRISTOBAL APOSTOL;LA PIRAMIDE 871  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2227;ESCUELA BRASILIA;MALAGA 321  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
10824;ESCUELA CRISTAL CHILE;PEDRO AGUIRRE CERDA 2156 VILLA CRISTAL CHILE;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2225;ESCUELA FRANCISCO DE AGUIRRE;SAN IGNACIO 181  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
10835;ESCUELA LA ESPERANZA;VILLORRIO SANTA LUISA SIN NUMERO  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
3062;ESCUELA REPUBLICA ARGENTINA;SAN FRANCISCO DE BORJA 101  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2230;ESCUELA SANTA ROSA DE CHENA;PRIMERA AVENIDA 830  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2232;LICEO BICENTENARIO PAUL HARRIS;PRIMERA TRANSVERSAL 420 SANTA ROSA DE CHENA;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2226;LICEO PATRICIO MEKIS DE PADRE HURTADO;PRIMERA TRANSVERSAL 2378  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2236;CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE;AVENIDA BERNARDO O'HIGGINS 540  ;PAINE;METROPOLITANA DE SANTIAGO;
2238;COLEGIO BICENTENARIO SANTA MARIA DE PAINE;GENERAL BAQUEDANO 348  ;PAINE;METROPOLITANA DE SANTIAGO;
2237;COLEGIO MARIA ANA MOGAS;CONCEPCION 358  ;PAINE;METROPOLITANA DE SANTIAGO;
3219;ESCUELA BARBARA KAST RIST;18 DE SEPTIEMBRE 2874  ;PAINE;METROPOLITANA DE SANTIAGO;
2943;LICEO EL BOLLENAR;VALPARAISO 300  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
