codigo_rec;recinto;Direccion;comuna;region;
1857;COLEGIO SAN JOSE DE CHICUREO;SAN JOSE 14531  ;COLINA;METROPOLITANA DE SANTIAGO;
1855;ESCUELA ALGARROBAL;FERMIN VERGARA SIN NUMERO LAS CANTERAS;COLINA;METROPOLITANA DE SANTIAGO;
2111;ESCUELA JAIME GOMEZ GARCIA;SAN GERMAN 839  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2112;ESCUELA MARISCAL DE AYACUCHO;GABRIELA MISTRAL 992  ;LO PRADO;METROPOLITANA DE SANTIAGO;
3317;ESCUELA N°389 REPUBLICA DE ESTADOS UNIDOS;SCALA 751  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2115;ESCUELA POETA VICENTE HUIDOBRO;MILTON ROSSEL 7191  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2116;ESCUELA PROFESORA GLADYS VALENZUELA;GENERAL BUENDIA 509  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2117;ESCUELA SOR TERESA DE LOS ANDES;SAN PABLO 8011  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2114;LICEO POETA PABLO NERUDA;OBISPO RODRIGUEZ 5935  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2108;LICEO TENIENTE DAGOBERTO GODOY N°3;ISLA DECEPCION 232  ;LO PRADO;METROPOLITANA DE SANTIAGO;
2134;COLEGIO EL ALBA DE MACUL;LOS PLATANOS 3237  ;MACUL;METROPOLITANA DE SANTIAGO;
2120;COLEGIO LIBERTADOR SIMON BOLIVAR;IGNACIO CARRERA PINTO 4729  ;MACUL;METROPOLITANA DE SANTIAGO;
10467;COLEGIO SAINT MARY JOSEPH SCHOOL;CASTILLO URIZAR 2931  ;MACUL;METROPOLITANA DE SANTIAGO;
2127;COLEGIO SAN VIATOR;FROILAN ROA 5755  ;MACUL;METROPOLITANA DE SANTIAGO;
2128;COMPLEJO EDUCACIONAL ESPERANZA;COIPUE 2793  ;MACUL;METROPOLITANA DE SANTIAGO;
2129;COMPLEJO EDUCACIONAL JOAQUIN EDWARDS BELLO;AVENIDA MACUL 4301  ;MACUL;METROPOLITANA DE SANTIAGO;
2130;ESCUELA JOSE BERNARDO SUAREZ;JOAQUIN RODRIGUEZ 2501  ;MACUL;METROPOLITANA DE SANTIAGO;
652;ESCUELA MUNICIPAL OSVALDO RUIZ GARCIA;AVENIDA BERNARDO O'HIGGINS 500  ;COLTAUCO;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;
339;ESCUELA BASICA CHILLEPIN;AVENIDA BERNARDO O'HIGGINS SIN NUMERO CHILLEPIN;SALAMANCA;DE COQUIMBO;
11071;COLEGIO TERRA AUSTRALIS;JOSE MARIA GUZMAN 1290  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2608;ESCUELA EL MAITEN;LOS PELLINES 491  ;LA UNION;DE LOS RIOS;
3008;ESCUELA JAVIER EYZAGUIRE ECHAURREN;LAS LILAS 16080  ;PAINE;METROPOLITANA DE SANTIAGO;
2245;COLEGIO ANTONIO ACEVEDO HERNANDEZ;AVENIDA LA MARINA 2835  ;PEDRO AGUIRRE CERDA;METROPOLITANA DE SANTIAGO;
2289;CENTRO EDUCACIONAL EDUARDO DE LA BARRA;CALLE A 6301  ;PEÑALOLEN;METROPOLITANA DE SANTIAGO;
2312;UNIVERSIDAD AUTONOMA DE CHILE;AVENIDA PEDRO DE VALDIVIA 641  ;PROVIDENCIA;METROPOLITANA DE SANTIAGO;
3073;ESCUELA PALMARES ORIENTE;O'HIGGINS 526  ;QUILICURA;METROPOLITANA DE SANTIAGO;
3319;ESCUELA JULIO BARRENECHEA;PINTOR BENITO REBOLLEDO 2393  ;MACUL;METROPOLITANA DE SANTIAGO;
2126;ESTADIO MONUMENTAL;MARATHON 5300  ;MACUL;METROPOLITANA DE SANTIAGO;
2123;GIMNASIO MUNICIPAL;AVENIDA QUILIN 3230  ;MACUL;METROPOLITANA DE SANTIAGO;
2124;LICEO MERCEDES MARIN DEL SOLAR;RODRIGO DE ARAYA 5079  ;MACUL;METROPOLITANA DE SANTIAGO;
2132;LICEO SALESIANO CAMILO ORTUZAR MONTT;AVENIDA MACUL 5950  ;MACUL;METROPOLITANA DE SANTIAGO;
2133;LICEO VILLA MACUL ACADEMIA;LOS PLATANOS 3112  ;MACUL;METROPOLITANA DE SANTIAGO;
8128;ESCUELA 116 ALMAGRO;CAMINO IMPERIAL QUEPE KILOMETRO 5  ;NUEVA IMPERIAL;DE LA ARAUCANIA;
2148;CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC;AVENIDA SEGUNDA TRANSVERSAL 1900  ;MAIPU;METROPOLITANA DE SANTIAGO;
2149;CENTRO EDUCACIONAL PIAMARTINO CAROLINA LLONA DE CUEVAS;SAN JOSE 577  ;MAIPU;METROPOLITANA DE SANTIAGO;
10493;CENTRO EDUCACIONAL SAN ANDRES;AVENIDA LOS PAJARITOS 4198  ;MAIPU;METROPOLITANA DE SANTIAGO;
2150;COLEGIO ALBERTO PEREZ;CENTENARIO 147  ;MAIPU;METROPOLITANA DE SANTIAGO;
2136;COLEGIO ALCAZAR;AVENIDA PARQUE CENTRAL PONIENTE 500  ;MAIPU;METROPOLITANA DE SANTIAGO;
2140;COLEGIO ALICANTE DEL ROSAL;INGENIERO EDUARDO DOMINGUEZ 920  ;MAIPU;METROPOLITANA DE SANTIAGO;
2185;LICEO NACIONAL DE MAIPU;AVENIDA PORTALES 2471  ;MAIPU;METROPOLITANA DE SANTIAGO;
2899;LICEO POLITECNICO HANNOVER;DOS NORTE 22  ;MAIPU;METROPOLITANA DE SANTIAGO;
10666;LICEO REINO DE DINAMARCA;GERMAN GREVES 265  ;MAIPU;METROPOLITANA DE SANTIAGO;
2173;LICEO SANTIAGO BUERAS Y AVARIA;CAPELLAN BENAVIDES 2321  ;MAIPU;METROPOLITANA DE SANTIAGO;
2186;LICEO TECNOLOGICO ENRIQUE KIRBERG BALTIANSKY;EL CONQUISTADOR 1561  ;MAIPU;METROPOLITANA DE SANTIAGO;
2174;POLIDEPORTIVO OLIMPICO;AVENIDA 5 DE ABRIL 700  ;MAIPU;METROPOLITANA DE SANTIAGO;
2176;TEATRO MUNICIPAL;AVENIDA LOS PAJARITOS 2045  ;MAIPU;METROPOLITANA DE SANTIAGO;
4597;ESCUELA GUARDIAMARINA ERNESTO RIQUELME V;SARGENTO ALDEA 135 POBLACION 21 DE MAYO;OVALLE;DE COQUIMBO;
39;COLEGIO LITTLE COLLEGE;AVENIDA HEROES DE LA CONCEPCION 634  ;IQUIQUE;DE TARAPACA;
3170;COLEGIO SAN JUAN DE DIOS;JOSE ZAVALA RIOS 1200 POBLACION LAS POZAS;NACIMIENTO;DEL BIOBIO;
1183;ESCUELA NACIMIENTO DE NUESTRO SEÑOR;VILLA ALEGRE 1415 VILLA EL CIPRES;NACIMIENTO;DEL BIOBIO;
2122;ESCUELA VILLA MACUL D-200;POETA AUGUSTO WINTER 4098  ;MACUL;METROPOLITANA DE SANTIAGO;
13140;COLEGIO BICENTENARIO MIRAMAR DE EXCELENCIA;SAN IGNACIO DE LOYOLA 750  ;ARICA;DE ARICA Y PARINACOTA;
2771;COLEGIO SEMINARIO PADRE ALBERTO HURTADO;AVENIDA PADRE ALBERTO HURTADO 987  ;CHILLAN;DE ÑUBLE;
2440;COLEGIO SANTA MARIA DE LA PROVIDENCIA;DOMINGO SANTA MARIA 3198  ;RENCA;METROPOLITANA DE SANTIAGO;
2461;ESCUELA REPUBLICA DE LOS EE.UU. DE AMERICA;MENDOZA 785 TEJAS DE CHENA;SAN BERNARDO;METROPOLITANA DE SANTIAGO;
